"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
153,1,4,4101,2,52,3,2,3,0.457,4,2
781,1,8,8312,2,31,4,2,3,2.75,2,1
1285,1,13,13111,2,29,3,2,3,0.943,2,2
1200,1,13,13106,1,24,3,1,4,0.24,1,2
440,1,6,6106,2,41,4,2,3,0.252,3,1
771,1,8,8305,1,32,2,1,4,1.712,2,2
716,1,8,8110,2,62,4,1,2,0.923,5,2
614,1,8,8101,2,52,1,1,4,0.333,4,1
393,1,5,5701,2,69,5,2,2,0.565,5,2
353,1,5,5501,2,52,2,2,3,6.697,4,2
71,1,2,2101,1,70,3,2,3,0.55,5,3
778,2,8,8307,1,67,4,2,1,0.386,5,2
672,1,8,8106,2,55,4,1,2,0.282,5,3
1854,1,13,13601,2,51,3,9,4,0.103,4,3
939,1,9,9211,2,23,4,2,4,1.832,1,1
792,1,8,8401,2,24,3,2,4,0.389,1,2
1125,1,13,13101,1,64,3,1,2,0.261,5,1
996,1,10,10101,2,46,3,2,3,0.823,4,2
145,1,4,4101,1,48,4,2,3,2.151,4,9
1743,1,13,13201,2,39,4,9,3,0.968,3,1
164,1,4,4102,2,51,4,2,3,0.521,4,1
282,1,5,5108,2,71,3,1,2,0.311,5,1
934,2,9,9204,2,39,4,2,3,0.661,3,1
908,2,9,9118,2,35,4,2,3,0.694,3,3
693,1,8,8110,2,63,3,1,3,0.078,5,2
1226,1,13,13108,2,66,5,2,2,0.853,5,2
644,2,8,8101,2,39,4,2,3,0.54,3,2
1628,1,13,13126,1,42,5,2,2,0.359,3,3
773,1,8,8305,2,44,4,9,2,0.609,3,2
663,1,8,8103,2,68,4,2,1,0.849,5,2
1430,1,13,13118,2,20,3,9,3,0.923,1,2
910,2,9,9118,2,23,4,2,3,1.272,1,3
1563,1,13,13122,1,36,4,9,2,0.153,3,3
91,1,2,2102,2,31,3,2,3,0.682,2,3
695,1,8,8110,1,76,4,2,1,0.051,5,2
1593,1,13,13124,2,19,4,2,3,1.086,1,1
293,1,5,5109,2,65,3,1,2,0.239,5,2
157,1,4,4102,1,40,3,1,4,1.429,3,1
1405,1,13,13116,2,63,4,2,2,0.474,5,2
294,1,5,5109,2,67,3,9,2,0.718,5,2
273,1,5,5108,2,42,1,1,4,1.081,3,2
801,1,8,8401,2,22,3,2,3,0.927,1,2
1015,1,10,10109,1,62,4,9,2,0.763,5,1
1071,1,11,11202,1,20,4,1,3,1.101,1,2
952,1,14,14101,1,49,4,2,1,0.739,4,2
421,1,6,6101,2,56,4,1,4,0.703,5,2
451,2,6,6112,2,19,4,2,3,1.325,1,2
720,1,8,8110,1,25,3,2,3,1.086,2,2
1803,1,13,13401,2,25,4,2,3,0.487,2,1
1292,1,13,13111,2,18,3,1,3,1.29,1,3
961,2,14,14103,2,23,4,2,3,1.978,1,2
448,1,6,6109,2,51,4,9,2,0.267,4,2
671,1,8,8106,1,31,4,2,3,0.442,2,2
90,1,2,2101,2,23,3,2,4,2.202,1,2
539,2,7,7106,1,44,4,2,2,0.897,3,3
1068,2,10,10306,1,25,3,2,4,1.274,2,1
691,1,8,8110,1,71,4,1,2,0.051,5,2
1737,1,13,13201,1,19,3,1,3,2.005,1,2
424,1,6,6101,2,53,3,1,2,0.176,4,2
121,1,3,3101,2,45,5,2,3,0.67,4,2
1255,1,13,13110,2,42,2,1,4,1.253,3,2
1145,1,13,13103,2,42,4,1,2,0.551,3,3
863,1,9,9101,2,21,2,2,4,0.163,1,2
694,1,8,8110,1,60,3,1,2,0.051,5,2
552,2,7,7201,1,18,4,2,3,2.067,1,1
822,2,8,8408,2,50,4,9,2,0.41,4,1
907,2,9,9118,2,33,4,2,3,1.292,2,1
851,1,9,9101,2,54,3,2,3,0.324,4,3
159,1,4,4102,2,81,3,1,4,0.36,5,1
909,2,9,9118,1,25,4,2,3,1.223,2,1
58,1,2,2101,1,31,3,2,3,0.659,2,2
1703,1,13,13131,1,69,4,1,2,0.75,5,2
896,1,9,9112,2,24,3,2,4,0.633,1,2
741,1,8,8205,2,66,4,2,2,0.461,5,2
701,1,8,8110,2,27,3,2,3,0.085,2,2
1189,1,13,13105,2,34,2,1,3,0.876,2,2
1407,1,13,13116,1,91,4,1,2,0.467,5,2
